date,window_start,window_end,window,stride,B,ci_level,alpha_qv,FBM_cov_md,rf_factor,band_type,H_price,H_price_lo,H_price_hi,H_vol,H_vol_lo,H_vol_hi,H_interest,H_interest_lo,H_interest_hi,S_H11,S_H11_lo,S_H11_hi,S_H12,S_H12_lo,S_H12_hi,S_H13,S_H13_lo,S_H13_hi,S_H22,S_H22_lo,S_H22_hi,S_H23,S_H23_lo,S_H23_hi,S_H33,S_H33_lo,S_H33_hi
2018-03-16,2017-03-09,2018-03-16,252,5,100,0.9,0.2,1,0.7,percentile,0.5391080649403627,0.45065086284061023,0.634403184158891,0.5366146482015064,0.4502375036541602,0.6168132228707546,0.438844581003528,0.33651301332168226,0.5416743118438514,1.0782161298807253,0.9013017256812205,1.268806368317782,1.075722713141869,0.9297713613504494,1.1845024289515766,0.9779526459438908,0.7950202039343903,1.103018227790384,1.0732292964030128,0.9004750073083204,1.2336264457415091,0.9754592292050344,0.8443259639115916,1.0972369733901628,0.877689162007056,0.6730260266433645,1.0833486236877028
2018-03-26,2017-03-16,2018-03-26,252,5,100,0.9,0.2,1,0.7,percentile,0.5385888192017892,0.4453944469895047,0.6226508666950087,0.5357811554988285,0.4285636600376796,0.6220830976561831,0.4331287379767535,0.3329674940288734,0.5191133003379558,1.0771776384035785,0.8907888939790094,1.2453017333900174,1.074369974700618,0.9136037072737968,1.1860670502613528,0.9717175571785428,0.8207084831175685,1.0866594095318904,1.071562310997657,0.8571273200753592,1.2441661953123662,0.968909893475582,0.7996180267015988,1.0747702257081435,0.866257475953507,0.6659349880577468,1.0382266006759115
2018-04-02,2017-03-24,2018-04-02,252,5,100,0.9,0.2,1,0.7,percentile,0.5602579438758781,0.469460033852871,0.6452365380418665,0.5445557580342004,0.4431502002624834,0.6309579746512264,0.43537163459238426,0.3327271650619621,0.5163412929007514,1.1205158877517563,0.938920067705742,1.290473076083733,1.1048137019100785,0.9536972284516594,1.2331449156793386,0.9956295784682624,0.8541603796492508,1.1089135541263924,1.0891115160684008,0.8863004005249668,1.2619159493024528,0.9799273926265847,0.8132561531723886,1.086757788799078,0.8707432691847685,0.6654543301239242,1.0326825858015027
2018-04-09,2017-03-31,2018-04-09,252,5,100,0.9,0.2,1,0.7,percentile,0.5358914938275997,0.4195516836468845,0.6410866222134686,0.5286701589557713,0.4201692157824949,0.6084474310477161,0.42354473633184764,0.33107341138405316,0.5022095552980986,1.0717829876551994,0.839103367293769,1.2821732444269371,1.064561652783371,0.9075947185433263,1.2291989202726736,0.9594362301594473,0.8116162357228267,1.0943681572552821,1.0573403179115426,0.8403384315649898,1.2168948620954323,0.9522148952876189,0.8258348668224919,1.0940836386710284,0.8470894726636953,0.6621468227681063,1.0044191105961973
2018-04-16,2017-04-07,2018-04-16,252,5,100,0.9,0.2,1,0.7,percentile,0.5415714809931045,0.434546788478729,0.634799898930597,0.5291779418673698,0.4194301069568882,0.5925297035067181,0.4095002011441715,0.32087411744481376,0.5145955824167939,1.083142961986209,0.869093576957458,1.269599797861194,1.0707494228604744,0.9075972465927965,1.1844979312584523,0.951071682137276,0.8220952615685881,1.068123866715048,1.0583558837347395,0.8388602139137764,1.1850594070134362,0.9386781430115413,0.7965227193687522,1.0337595091405454,0.819000402288343,0.6417482348896275,1.0291911648335879
2018-04-23,2017-04-14,2018-04-23,252,5,100,0.9,0.2,1,0.7,percentile,0.521335223272218,0.40944565537543853,0.6049140121036833,0.520916226156316,0.41706978507916515,0.6120279763769149,0.3964375103192057,0.3030801376547886,0.4815182643679396,1.042670446544436,0.8188913107508771,1.2098280242073667,1.0422514494285342,0.9133244216492046,1.1720125987283816,0.9177727335914238,0.7723694252749352,1.04731065882466,1.041832452312632,0.8341395701583303,1.2240559527538297,0.9173537364755218,0.7861401714184771,1.0471230886649419,0.7928750206384114,0.6061602753095772,0.9630365287358792
2018-05-01,2017-04-21,2018-05-01,252,5,100,0.9,0.2,1,0.7,percentile,0.5170453021341975,0.4225605635473817,0.6029655839204854,0.5186347108137964,0.4286173761325618,0.629535329706595,0.4013665247061314,0.3276662881078779,0.506069023561423,1.034090604268395,0.8451211270947634,1.2059311678409708,1.035680012947994,0.9065465336292682,1.1762589407129123,0.918411826840329,0.7582673137524816,1.0417842265004809,1.0372694216275928,0.8572347522651236,1.25907065941319,0.9200012355199279,0.8227892556747605,1.0630778871217719,0.8027330494122628,0.6553325762157558,1.012138047122846
2018-05-10,2017-04-28,2018-05-10,252,5,100,0.9,0.2,1,0.7,percentile,0.5151781322433799,0.3978314049694826,0.6076582898397557,0.5191743193744499,0.3946927504371152,0.6215956373742688,0.39759633079125534,0.26750099603765387,0.48484038358848786,1.0303562644867599,0.7956628099389652,1.2153165796795113,1.03435245161783,0.8536119402323655,1.188876636528554,0.9127744630346353,0.7603668600012526,1.030961980269424,1.0383486387488998,0.7893855008742304,1.2431912747485376,0.9167706501657052,0.7386846843803432,1.0429532564391242,0.7951926615825107,0.5350019920753077,0.9696807671769757
2018-05-17,2017-05-10,2018-05-17,252,5,100,0.9,0.2,1,0.7,percentile,0.5129760564749943,0.39725286173268515,0.6197282292903261,0.5158022215131052,0.40398084705601645,0.6100097791449174,0.39014299447666495,0.2992890067849082,0.4729981972361091,1.0259521129499887,0.7945057234653703,1.2394564585806522,1.0287782779880996,0.8561622681853117,1.1760847571580286,0.9031190509516593,0.7801555709000634,1.0234471457625598,1.0316044430262103,0.8079616941120329,1.2200195582898348,0.9059452159897701,0.7473697686896369,1.0393687542394388,0.7802859889533299,0.5985780135698164,0.9459963944722182
2018-05-24,2017-05-17,2018-05-24,252,5,100,0.9,0.2,1,0.7,percentile,0.5107985715303132,0.41551824707425244,0.5993747764908086,0.5085369956249851,0.4179116956261762,0.6148799846851133,0.39489959429676386,0.272728135850967,0.47683073292641487,1.0215971430606263,0.8310364941485049,1.1987495529816172,1.0193355671552982,0.8807919631199441,1.128738008814112,0.9056981658270771,0.7371705903234982,0.985399853017953,1.0170739912499702,0.8358233912523524,1.2297599693702266,0.9034365899217489,0.7054900271143532,1.0447974626511989,0.7897991885935277,0.545456271701934,0.9536614658528297
2018-05-31,2017-05-24,2018-05-31,252,5,100,0.9,0.2,1,0.7,percentile,0.5154269587028477,0.4178967989676963,0.6166655235549076,0.5105206441577195,0.40955770039120176,0.619269876299912,0.39971857027753677,0.3149553495416371,0.4965676117757967,1.0308539174056954,0.8357935979353927,1.2333310471098151,1.0259476028605672,0.8985207627349429,1.150266074814209,0.9151455289803845,0.7667934462864795,1.0573795353108717,1.021041288315439,0.8191154007824035,1.238539752599824,0.9102392144352562,0.7707829548085904,1.0489987324005787,0.7994371405550735,0.6299106990832742,0.9931352235515934
2018-06-07,2017-05-31,2018-06-07,252,5,100,0.9,0.2,1,0.7,percentile,0.5109843208230845,0.40459588074916564,0.6137335435336536,0.507271473535403,0.41964775769446744,0.5829694588085165,0.4047697317096478,0.3276089446731443,0.500353875566101,1.021968641646169,0.8091917614983313,1.2274670870673072,1.0182557943584876,0.8897107061493214,1.141574391986783,0.9157540525327323,0.7797104152593454,1.0551615409975843,1.014542947070806,0.8392955153889349,1.165938917617033,0.9120412052450508,0.797101287908113,1.0352340241864397,0.8095394634192956,0.6552178893462886,1.000707751132202
2018-06-14,2017-06-07,2018-06-14,252,5,100,0.9,0.2,1,0.7,percentile,0.5146322424660199,0.4218995085894311,0.6014122006103718,0.5045788299336967,0.38028409975024186,0.5905676318735946,0.4115727970060829,0.3131249379655736,0.5277898327044998,1.0292644849320398,0.8437990171788622,1.2028244012207436,1.0192110723997168,0.8458974840008319,1.144997330755669,0.9262050394721029,0.7894482135112055,1.0901503577468061,1.0091576598673935,0.7605681995004837,1.1811352637471892,0.9161516269397796,0.8062405561525349,1.0678010657868537,0.8231455940121658,0.6262498759311472,1.0555796654089995
2018-06-21,2017-06-14,2018-06-21,252,5,100,0.9,0.2,1,0.7,percentile,0.5157315553531259,0.417242584728865,0.6091941711375056,0.5042072387006259,0.4137548730650037,0.5950018068029664,0.4195437923057133,0.3104862505228307,0.5149801417188112,1.0314631107062517,0.83448516945773,1.2183883422750112,1.0199387940537519,0.8771474197399811,1.1691803938701966,0.9352753476588391,0.7835113204391381,1.1011724642060043,1.0084144774012518,0.8275097461300074,1.1900036136059329,0.9237510310063393,0.7528840736705348,1.0615230483776625,0.8390875846114266,0.6209725010456614,1.0299602834376225
2018-06-28,2017-06-21,2018-06-28,252,5,100,0.9,0.2,1,0.7,percentile,0.5166033980792792,0.42414629997227365,0.6105056591937759,0.5027012726462079,0.3782805834953751,0.6026882343993604,0.41617358555577577,0.3278038692304362,0.48635573586067904,1.0332067961585585,0.8482925999445473,1.2210113183875517,1.0193046707254871,0.8464074522787532,1.1445142489696678,0.932776983635055,0.8145181766432583,1.0876832669305765,1.0054025452924158,0.7565611669907502,1.2053764687987207,0.9188748582019837,0.781758863042508,1.0408358202067454,0.8323471711115515,0.6556077384608724,0.9727114717213581
